name,company,city,salary,exp,edu,details
C++,上海易立德,深圳,10-15K,3-5年,大专,"此项目是与美的合作，驻场开发！！！
C++开发
1、参与项目软件需求分析和软件概要设计；
2、进行软件详细设计和编码实现，确保软件模块开发进度；
3、开发和维护统一的软件开发架构，发现和解决存在的软件设计问题；
4、按软件工程流程编写和提交设计文件和相关文档。
岗位要求：
1. 具有3年以上C++编程经验，精通QT框架。
2. 深入理解QT底层实现机制，熟练掌握QT框架、布局、绘图、自定义控件，精通QT在Windows和Mac下界面开发调试；
3. 熟练使用常见数据结构，熟悉队列、消息、多线程、网络编程、串口编程等技术的应用。
4. 熟悉JSON、XML、HTML等描述语言生成与解析；
5. 熟练掌握面向对象思想，具备一定系统分析和设计能力。
6. 熟悉QT在不同平台之间的移植。
7. 拥有扎实的c++基础，精通指针、封装、继承、多态、模板、STL。
8. 有责任心,积极进取；有较强的文字表达、文档撰写、沟通协调能力；有团队协作精神；
9. 工作积极主动，善于沟通、表达，有团队协作精神，有独自解决问题的能力，能够承受一定工作压力。
                            "
C++,道通科技,深圳,12-24K·14薪,1-3年,本科,"岗位职责：
1、根据诊断软件研发设计工作计划及任务分工，开展软件研发编码工作，并进行调试优化(VC,VS环境)；
2、参与诊断软件的迭代升级工作，提出改进建议和方案；
3、分析诊断软件业务逻辑，编写软件研发设计的协议文档；
4、及时解决研发过程中的技术问题。
任职要求：
1、计算机科学、计算机工程或电子信息工程或相关专业本科以上学历，英语四级或以上；
2、精通C、C++语言，熟悉VC编程环境，具有一定的GUI编程经验；
3、对汽车诊断协议或其它通讯协议有一定了解者优先；
4、具有较强的逻辑思维能力，能独力解决作中的问题和难点；
5、有较好地团队合作和吃苦耐劳的精神，能承受较强的工作压力，虚心好学、事业心强。
                            "
C++,vivo,深圳,30-60K,3-5年,本科,"C++高级工程师
岗位职责：
&nbsp;1.&nbsp;负责分布式在线广告引擎的设计和实现，支持大规模高并发实时广告请求；
&nbsp;2.&nbsp;负责广告引擎的架构优化和性能提升；
任职要求：
&nbsp;1.&nbsp;本科及以上学历，对技术充满热情，3年以上linux下c/c++/lua/golang/java开发经验；
&nbsp;2.&nbsp;熟练掌握多线程/多进程、网络IO、设计模式、gdb调试等技术；
&nbsp;3.&nbsp;具有高并发系统的设计、开发、优化实践经验；
&nbsp;4.&nbsp;结果导向，有强烈的责任心，良好的沟通协调能力和良好的团队合作精神；
加分项：
&nbsp;1、熟悉广告/搜索/推荐架构设计，有复杂业务的架构能力；
&nbsp;2、有大型分布式的开发和优化经验；
&nbsp;3、有开源项目开发经验，如nginx、redis/mongodb、kafka、zookeeper等；
                            "
C++,中兴软件,深圳,7-10K,1-3年,本科,"C/C++嵌入式开发工程师(外包，中兴通讯)
1、扎实的C/C++编程基础，熟悉常用的C++11新特性，具有C/C++混合编程经验优先；
2、具有Linux下设备驱动编程经验，语音采集模块，wifi模块等；
3、有Qt编程经验更佳，Qt的信号与槽机制，Qt的元对象系统；
4、熟悉linux下常用命令，grep，find，awk，xargs等；
5、熟悉makefile编译方式，gdb调试等。
                            "
c++,绛门科技,深圳,6-12K,1-3年,本科,"1) IPTV / OTT 媒体服务器软件开发，流媒体服务器是基于linux平台的一款高性能、高并发的媒体服务器软件产品；
2) 根据市场需求完成软件详细设计、使用C/C++或lua、python等脚本完成需求开发；
3) 对服务器软件做性能优化，提升软件的并发和吞吐量，向客户端提供高质量的直播、点播、时移、回看等媒体服务；
要求：
1) 熟悉C/C++编程技术；
2) 熟悉linux开发环境，了解多进程、多线程开发；
3) 本科毕业，积极主动，努力上进。
                            "
C++,腾讯,深圳,15-30K,3-5年,本科,"岗位职责：
1.负责腾讯乘车码相关产品的后台设计，开发和维护工作，包括基于微信小程序和公众号的toC端基础产品，toB端的运营平台和支撑系统开发。
2.持续优化乘车码后端的系统架构，提升、保障系统安全，高可用，高性能，易扩展，帮助团队提升效率和质量。
任职要求：
1.3年以上前端开发经验，精通C/C++，Python，Shell，HTML，JAVA，JAvaScript等，熟练掌握至少两种语言，有良好的编码习惯和抽象能力。
2.对Web安全有丰富的认识和经验，了解XSS，CSRF，SQL注入等常用Web安全问题。
3.熟悉掌握HTTP/HTTPS协议相关知识，熟练掌握Apache，nginx等常用Web Server，以及cgi，fastcg等，具有良好的代码编写习惯。
4.具有良好的分析和解决问题的能力，能独立承担任务和有系统进度把控能力，具备良好的抗压能力。
5.熟悉掌握，使用过Redis，Zookeeper，Spark，Haddop，kafka等开源组件和框架的优先。
                            "
C/C++,中软国际,深圳,13-26K,经验不限,本科,"1.1年及以上C++项目开发经验
2.计算机/软件工程/信息技术等相关IT专业本科毕业
3.熟练掌握C++、C语言
                            "
C++后端开发工程师,欧珀(OPPO),深圳,20-30K,3-5年,本科,"C++后端开发工程师
岗位职责
1.负责缓存、NoSQL等中间件产品的需求、设计、开发、落地实施等工作；
2.负责各类技术难题攻关，为业务提供高性能、高可用的后端技术服务。
职位要求：
1. 大学本科学历，2年以上工作经验；
2. 熟练掌握Linux环境下的C/C++开发，有go/java经验更佳；
3. 熟悉TCP/IP协议，熟练掌握Linux网络编程和多线程编程技术；
4. 有常见kv存储引擎(LevelDB，RocksDB等)、缓存（redis, memcached等）的开发经验，阅读源码者优先;
5. 善于解决和分析问题，有良好的团队合作精神。
                            "
C++,中软国际,深圳,11-22K,3-5年,本科,"有C++语言三年以上的开发经验；    
有Socket编程开发经验；
 有通信项目经验的优先，
有DPDK开发经验的优先。  
态度踏实，有团队意识，能很好的融入到团队开发。
                            "
c/c++,中软国际,深圳,9-14K,经验不限,本科,"嵌入式C/C++ （linux C++）
岗位要求：
1、计算机、电子、通信或控制等相关专业本科以上学历；
2、1年以上嵌入式软件开发相关工作经验； 
3、熟悉嵌入式产品开发，熟练掌握ARM下的嵌入式软件设计与开发； 
4、熟悉Linux网络通信、RS232/485串口通信编程开发以及Linux下的多线程、内存管理、嵌入式数据库等基本技术；
5、熟悉GDB调试。
                            "
VC++ windows c++,中软国际,深圳,10-20K,1-3年,本科,"1、熟悉VC++开发，具有两年以上开发经验；
2、熟悉Windows界面工具原型开发；
3、熟悉C/S架构客户端软件开发；
4、全日制统招二本以上
                            "
C++,MS,深圳,10-11K,1-3年,本科,"1，独立负责一个项目
2，有跟客户接触的机会
3，英文沟通好
                            "
c++,华信计算机,深圳,12-18K,3-5年,大专,"1. 精通C/C++、MYSql、FORTRAN等编程语言，熟悉业界主要软件开发模型和工程方法；
2. 精通QT、VS2010等开发平台，能够处理VS及QT在开发过程中的各种异常；
3. 精通LINUX、WINDOWS操作系统，能够熟练应用shell脚本语言编程及处理系统异常问题。
4. 了解TCP/IP等网络通讯协议，熟悉C/S程序架构；
5、拥有c++及qt等大型项目优先
                            "
C++,乐易,深圳,8-13K·15薪,1年以内,本科,"乐易是一家快乐工作氛围的自研自发海外手游的公司，主要是欧美slg类重度手游。现诚邀优秀的您加入我们高效、活跃的开发中心团队，为公司业务发展保驾护航。
团队资深人士均是腾讯等名企出身，我们建立有导师制度，帮助你快速融合和成长；我们的团队氛围开放活泼，会给到年轻人充分的机会展示自我。该开发团队组织齐全，大概在15人左右。
公司目前在招后台初级、中级、高级。收到简历后，用人部门会与您面试沟通哦~
该岗位可接受语言基础扎实（C/C++、Java、C#任一开发语言）。
你要做什么：
1、自己的游戏功能贯穿于开发过程的每一步，从最初的设计到现场游戏支持；
2、与游戏策划以及其他技术团队密切合作，实现游戏功能。
3、级别更高会负责游戏框架、系统设计，更深层次为游戏的实现做技术支撑。
你的背景是：
1、计算机相关专业，本科及以上学历；
2、精通TCP/IP协议，进程间通讯编程；
3、精通C/C++/java任意一门开发语言；
4、熟悉Unix/Linux下常用架构设计方法；
5、熟悉Unix/Linux操作系统原理、常用工具；
7、具备良好的分析解决问题能力，能独立承担工作任务及把控任务进度；
8、责任心强，良好的沟通和团队协作能力，主动好学有进取心。
加分项：
1、有hadoop或其它分布式计算存储平台经历；
2、有游戏开发经验；
3、有完整的项目经历；
4、Unix/Linux下Server开发经验；
5、熟悉Perl/python，shell等脚本语言。
关于乐易
★极客精神     专注海外精品手机游戏和应用软件的研发、发行和运营，致力于打造一流的产品；
★技术深厚     创始人、CTO（原腾讯部门总监），研发经理及技术骨干均为腾讯技术背景； 
★飞速发展     成立首年盈利，4年每年100%营收增长，已获A轮融资，估值10亿人民币；
★导师制度       一对一的导师，助你快速成长。
关于福利
★一年两次调薪★  ★绩效奖金高达10个月★    
★六险一金★  ★一年两次旅游★    
★7天年假15天带薪事假30天病假★  ★年度体检★                
★高大上办公环境★  ★每月团建★  ★无限量零食水果供应★
                            "
C++,软通动力,深圳,8-10K,1-3年,本科,"C++软件工程师
职位要求：
1.具有一年以上的C语言或者C++语言实际开发经验；
2. C语言或者C++语言基本扎实；
3.二本（统招）及以上学历；
4.良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的开发经验；
5.能够承受工作压力，责任心强，工作踏实，有团队协作精神。
项目是远程监控系统的研发。
                            "
C++开发工程师,软通动力,深圳,12-24K,3-5年,本科,"Linux C++
1. 熟悉linux操作系统，熟练掌握Linux C编程、linux shell编程。
2. 熟练掌握linux环境下开发和调试工具: gcc、make/makefile、gdb、strace等。
3.统招二本学历，理工科相关专业
Windows C++
1、工作经验2年及以上；
2、熟练掌握WINDOWS平台下的C/C++开发，
3、最好有DUILIB/QT/MFC其中一种或多种UI库使用经验；4、熟悉具有以下编程经验更好：
SOCKET TCP/IP网络编程、WINDOWS BAT脚本，WINDOWS进程通信，SVN/GIT团队协作开发
                            "
C++,科骏实业,深圳,20-40K,5-10年,本科,"岗位职责：
1. 负责游戏引擎的底层功能开发，及构架设计；
2. 配合产品部门，根据市场需求进行产品需求分析及相关设计文档编写；
3. 指导团队成员实施具体的开发工作；
4. 配合项目经理进行技术决策，进行技术风险评估；
5. 完成上级交办的其他工作任务。
 
岗位要求：
1. 本科及以上学历，计算机相关专业，有游戏引擎及游戏软件产品开发工作经验优先考虑；
2. 5年以上C++实际项目开发经验，熟悉计算机图形学、数据结构和算法;
3. 熟悉游戏引擎，比如，OpenGL等;
4. 熟悉多线程、多进程开发，熟悉计算机网络通信原理及SOCKET网络程序开发；
5. 具有高度的责任心、较强的沟通协调能力、问题解决能力、良好的团队合作精神；
6. 具有项目管理经验或系统架构设计经验者优先考虑；
7. 具有较强英语能力者优先考虑；
                            "
C++游戏开发,网龙网络公司,深圳,15-30K,1-3年,本科,"游戏开发程序员（C++客户端-服务端）
职位类别程序开发类
工作地点福州
招聘人数 3人 
发布时间2018.12.11
工作内容
1、编码：根据需求文档和系统设计，使用不同开发软件及相应编程规范，在要求的时间和质量范围内，完成需求开发的编码实现，具备界面编程相关知识。
2、联调：设计用户交互端口，配合其他程序员，检查功能完成度和完成联调。
3、代码REVIEW：根据编码规范，REVIEW代码，完成个人自测。
4、提交：根据程序版本，提交已经完成的代码。
5、改BUG：根据质量体系要求，配合他人或自己查错改错，降低BUG和重复测试次数。
6、维护：阅读原有代码，完成程序改造和维护，解决技术故障和消除产品中的缺陷。
7、优化：通过算法设计或新技术研发，优化产品性能。 
任职要求
1、计算机等相关专业，本科以上学历。
2、三年以上C++开发经验，熟悉微软Visual Studio开发平台，C++ template，STL，，了解计算机图形学的基础概念，熟悉Windows平台开发，精通数据结构与算法。
3、热爱游戏开发，有较强的自学能力、分析及解决问题能力，良好的团队合作能力以及需求分析能力。
4、有独立游戏项目经验或Unreal Engine 4相关项目经验或Android/iOS移动端开发经验优先。
                            "
c++开发,软通动力,深圳,8-13K,1-3年,本科,"1.全日制二本学历
2.有1年及以上c/c++相关工作经验
3.基础技能扎实
4.态度好，踏实，认真，愿意长期稳定发展
                            "
C++,MS,深圳,20-21K,1年以内,本科,"1，负责硬件部署软件开发
2，英文沟通能力
3，C++
                            "
