name,company,city,salary,exp,edu,details
C++,三维家,广州,25-40K,5-10年,本科,"c++架构师
职位描述：
1．负责带领3D云设计软件框架团队；
2．负责3D云设计软件框架的梳理、优化和扩展；
3．负责3D云设计软件通用算法和机制整理到框架层；
4．负责3D云设计软件开发辅助工具的设计和开发；
5．负责3D云设计软件的运行稳定。
认职要求：
1．热爱大型软件框架设计事业，对于如何构建框架支持100+人团队高效健壮地开发有独特的见解；
2．扎实C++11功底，有5年以上C++程序相关开发经验；
3．扎实的编程功底，主导开发复杂系统至少2个以上，团队规模50人以上；
4．优异的OO架构能力；
5．优异的数据结构基础；
6．优异的数学算法能力：几何、矩阵、积分、线性代数；
7．优异的团队沟通、协作和管理能力；
8．熟悉As3、Haxe或H5者优先；
9．有C++底层跨平台开发经验者优先；
10．有3D编程经验，熟练使用一款以上3D引擎者优先；
11．有家居行业相关软件开发经验者优先。
                            "
C++ Developer,咏声动漫,广州,7-12K,经验不限,学历不限,"岗位职责：
 - 负责开发内部软件的前端功能和界面开发；
- 同时负责部分网络功能和数据库的开发和维护；
任职要求：
- 精通C++语言，优秀的数据结构和算法设计能力；
        - 精通使用QT C++进行前端界面开发；
        - 熟悉多线程开发，能熟练使用相关的开发库，例如Intel TBB， Boost，或者QT自带的线程处理相关API；
        - 熟悉网络通信相关的Socket，数据库MySQL等开发和维护；
        - 熟悉敏捷开发流程的优先考虑
English Version:
WinSing Research &amp; Development Team (WSRD) is a highly innovative and forward-thinking team, who consisted by R&amp;D Developers, Technical Artists.  
We design CG production pipelines and build the proprietary software tools,  then refine and validate our own researches through the commercial short film project, which is collaborated with Los Angeles based creative team.
We offer a wide variety of R&amp;D and tech-art roles, from procedural workflow R&amp;D to more traditional business systems. Our roles tend to suit those interested in working in a predominantly Linux/open source environment.
WSRD strives to maintain an environment that supports a healthy work/life balance, we not only provide competitive salaries but also great workspace in which like-minded people can collaborate and thrive.
If you
- are looking for an opportunity to further develop your profile as a R&amp;D Developer or Technical Artist,
- are a new graduate or someone with a small amount of professional experience in CG production, who is aiming for a  better career in R&amp;D or Tech-Art role.
- enjoy the tech-art workflows,
- are looking for chances that communicating with industry gurus from Pixar, Disney, Dreamworks… etc.,
- enjoy inspiring artists through building proprietary tools,
- enjoy creative problem solving,
- enjoy pushing the boundaries in technology,
we’d like to hearing from you.
中文:
咏声动漫研发团队（WSRD）是一个高度创新且极具前瞻性的团队，主要由软件研发人员和Technical Artists.组成。
我们的工作内容如下：
1. 研发公司的CG动画制作Pipeline，开发拥有自己专利的软件工具，
2. 与洛杉矶创意团队进行商业合作，使用最新的前沿技术来制作CG动画短片，以此不断迭代更新和验证我们的研发成果。
我们提供各种【软件研发】和【Tech-Art】的职位，从procedural workflow研发”，到传统的企业级系统开发，总有职位适合你。
我们更期待你是一个熟悉在Linux/开源环境中工作的人。
我们致力营造一个能够平衡工作和生活的发展空间，你努力付出不仅能收获极具竞争力的薪资，同时也收获一群志同道合并且乐于助人的伙伴，在舒适但不懈怠的氛围里工作，一起体验专业日益精进的快感。
如果你是：
    职场新人，或是在CG生产方面有一定专业经验的人，希望进一步拓展你的职业生涯成为顶尖的【软件研发】或者【Tech-Art】人才，
    享受为艺术家们构建专有工具的过程；
    憧憬先进且高效的Tech-Art的CG工作流程，用酷炫而高效的手法赋予动画灵魂，
    正在寻找与皮克斯、迪斯尼、梦工厂等行业大师交流的机会；
    希望自己研发的成果能成功协助到艺术家创作出更优秀的作品，
    喜欢享受Creative Problem Solving带来的成就感，
    渴望去突破技术的边界；
请马上投发简历和作品给我们。
                            "
C++,广州睿迪网络科技,广州,12-20K,3-5年,学历不限,"网狐C++服务端开发（15k-35K）
6名
1. 熟悉C++,  熟练使用Visual Studio开发环境;
2. 了解socket网络编程和http协议，熟悉json，protobuf等协议格式；
3. 对数据结构和设计模式有自己的理解；
4. 工作积极主动、敬业、能承受较大压力，有良好团队意识;
5.熟悉网狐框架，3年以上的工作经验
                            "
C++,宏达,广州,13-25K,3-5年,本科,"1.熟练掌握C++，熟悉面向对象编程.
2.熟悉stl函数库,数据结构知识扎实.
3.熟悉数据库原理，熟悉mysql.
4.有进程/多线程编程经验,熟悉Socket网络编程.
5.linux下3年以上C/C++服务器和epoll开发经验.
6.熟悉openssl开源库更好.
                            "
C++,趣炫,广州,8-13K·13薪,经验不限,本科,"岗位职责：
1、负责手游服务端/客户端模块的开发、维护和优化更新；
2、负责游戏引擎的开发和性能优化；
3、负责手游SDK开发、版本迭代、优化升级等相关工作；
4、负责公司技术项目文档，维护文档的编写。
岗位要求：
1、本科及以上学历，计算机类或软件类相关专业；
2、扎实的C/C++&nbsp;基础和算法分析能力；
3、热爱游戏事业，对游戏研发有浓厚兴趣；
4、良好的沟通能力，高度的工作责任心和敬业精神。
                            "
C++,盛赫游戏,广州,8-13K,1-3年,大专,"C++开发工程师
【工作职责】
1、负责网络游戏服务器端的开发工作 
2、协助系统架构师对服务器程序进行架构分析和软件设计，并完成相应的文档
&nbsp;
【任职要求】
1、大专以上学历，有使用过C/C++经验；
2、熟悉常用的数据库编程，熟悉MySql尤佳；
3、熟悉Socket编程，熟悉Linux epoll编程；
4、熟悉面向对象编程，了解设计模式；
5、有多线程处理经验；
6、具有较强的解决问题的能力及创新能力，良好的逻辑思维能力；
7、有良好的团队协作意识和出色的学习能力，对游戏制作有持久的热忱。
&nbsp;
                            "
C++,智讯公司,广州,9-18K,经验不限,本科,"嵌入式Linux软件工程师
1、熟悉C/C++语言
2、熟悉QT编程
3、了解linux平台下的多线程、网络编程技术
4、熟悉Linux平台下的软件编程及调试方法
5、熟悉Linux下的常用指令
6、熟悉TCP/IP协议族，熟悉RTP/RTCP协议，有海思芯片和视频应用软件开发经验者优先。
                            "
C++,巨辰信息,广州,10-13K,1-3年,大专,"岗位职责：
1.负责基于FreeSWITCH的通讯平台服务器功能开发
2.负责基于FreeSWITCH的呼叫系统的架构优化
3.负责FreeSWITCH与客户端通讯过程中疑难问题的排查和解决
职能要求：
1.3年以上的项目开发经验
2.熟练掌握Linux下C/C++设计与编程，有Linux服务端开发经验；
3.熟悉FreeSWITCH、Asterisk、Kamailio、Opensips等相关开源软件，至少2年以上开发经验；
4.精通SIP、RTP/RTCP协议，熟悉常用的音视频编码；
5.熟悉Mysql、Redis、MongoDB等数据库；
6.有IVR、CallCenter、计费相关开发经验者优先；
7.具有良好的沟通能力和团队合作精神，工作责任心和抗压能力强，善于学习；
8.有呼叫中心的软件开发经验，了解呼叫中心的基本框架和流程的优先；
在巨辰您需要做的是：
1、负责大客户拓展、维护；
2、制定各销售阶段的竞争策略并实施，协调并利用公司内外部资源获取订单；
3、进行商务谈判；
4、完成公司规定的销售业绩目标及各项考核指标；
5、完成领导安排的其他工作。
工作时间：周一至周五 周末双休
归属部门：巨辰集团技术中心
工作地点：广州市天河区汇彩路38号领汇创展商务中心D3栋二楼全层
面试地点：广州市天河区汇彩路38号领汇创展商务中心D5栋四楼全层
交通指引：公交至汇彩路站/汇彩路总站，或地铁至三溪站B出口800米
公司官网：www.juchn.com
巨辰为您提供什么？
助您实现梦想的巨辰内部创业扶持机制、员工梦想基金，靠谱的团队，融洽的工作氛围，舒适的工作环境等，天马行空包您满意；
五险一金，带薪年假，工龄奖励（逐年递增150元/月），专业培训，不定期旅游，精彩团队活动，节日礼品礼金等应有尽有；
各种咖啡各种好茶，还有不增肥的美味下午茶~
来巨辰，您可尽情享受与营销、技术、运营、服务等领域顶尖人才共创成长的快意！
还不满意？那您来跟我说啊~~
                            "
C++,9130游戏,广州,10-20K,1-3年,本科,"1、负责游戏服务器逻辑开发工作；
2、负责游戏服务器模块及工具开发；
3、负责根据文档需求进行服务端程序设计及开发；
岗位要求：
1、热爱游戏，对游戏开发技术有浓厚的学习兴趣，善于解决问题；
2、2年以上游戏服务端开发工作经验，有大型网络游戏服务器端开发经验优先；
3、熟悉C/C++和Lua开发；
4、熟悉服务器架构和LINUX环境；
                            "
C++初级,赫墨拉游戏,广州,5-9K,应届生,本科,"岗位职责：
1.手游服务端模块设计与开发；
2.数据库的设计与维护；
3.版本开发维护；
4.优化系统、框架、游戏算法设计。
任职要求：
1.计算机相关专业，本科以上学历，应届211/985，或有一年相关经验；
2.热爱手游开发，对游戏开发充满热情；有游戏开发经验优先；
3.有一定的语言基础，熟悉c++语言。
4.熟悉了解分布式系统开发；
5.熟悉基本数据结构和算法，具备基本的算法设计能力，了解常用的设计模式；
6.熟悉MySQL；
7.熟悉linux + shell；
8.有网络编程基础优先；
9.有独立的用代码解决问题的能力，对待疑难问题有足够的耐心；
10.自学能力强，抗压能力强，工作踏实勤恳，有较强的团队合作精神。
福利方面：入职次月购买五险一金，包三餐，每天下午茶，免费供应零食，不定期团建，勤奋奖金，项目奖金，全勤奖，年底双薪，年度体检，法定假日，节日福利等等~~
                            "
